categorie|tag TEI-Med|tag TEI-XML

solo dip
note|ptr-d|<ptr type="dipl" target="#$" n="d$" />

solo int
note|ptr-i|<ptr type="int" target="#$" n="i$" />

interbe
solo dip
note|note-per|<note type="peritextuelle">$</note>

codic|gb|<gb n="$"/>
codic|pb|<pb n="$"/>
codic|fw-c-bc|<fw type="catch" place="bot-center">$</fw>
codic|fw-c-br|<fw type="catch" place="bot-right">$</fw>
codic|fw-s-bc|<fw type="sig" place="bot-center">$</fw>
codic|fw-s-br|<fw type="sig" place="bot-right">$</fw>
codic|fw-s-tc|<fw type="sig" place="top-center">$</fw>
codic|fw-s-tr|<fw type="sig" place="top-right">$</fw>

codic|gap-ch|<gap unit="character" quantity="$"/>
codic|gap-d|<gap reason="damage"/>

codic|uncl-d|<unclear reason="damage">$</unclear>
codic|space-rl|<space type="reserved-line"/>

page|cb-a|<cb n="a"/>
page|cb-b|<cb n="b"/>
page|cb-c|<cb n="c"/>
page|space-in|<space type="reserved-initial"/>
page|fw-gl|<fw type="guide-letter">$</fw>

log|lgB|<lg>
log|lgE|</lg>
log|hi-i|<hi rend="init-ill">$</hi>
log|hi-f|<hi rend="init-flour">$</hi>
log|hi-h|<hi rend="init-high">$</hi>

narr|div-proB|<div type="prologue" ref="#$">
narr|div-epB|<div type="episode" ref="#$">
narr|div-expB|<div type="explicit" ref="#$">
narr|divE|</div>

text|pc-p|<pc resp="#1hd" type="punctus">.</pc>
text|pc-p-r|<pc resp="#1hd-r" type="punctus">.</pc>
text|pc-p-2|<pc resp="#2hd" type="punctus">.</pc>
text|pc-dia|<pc resp="#1hd" type="diastole">/</pc>
text|pc-dia-r|<pc resp="#1hd-r" type="diastole">/</pc>
text|pc-dia-2|<pc resp="#2hd" type="diastole">/</pc>
text|pc-car|<pc resp="#1hd" type="caret">^</pc>
text|pc-car-r|<pc resp="#1hd-r" type="caret">^</pc>
text|pc-car-2|<pc resp="#2hd" type="caret">^</pc>
text|hi-md|<hi rend="maj-dipl">$</hi>

seg|space-d|<space type="#degl"/>

abbr|mlt|<expan corresp="#ab-ctr-mlt">m<ex>u</ex>lt</expan>
abbr|Mlt|<expan corresp="#ab-ctr-mlt">M<ex>u</ex>lt</expan>
abbr|hiMlt|<expan corresp="#ab-ctr-mlt"><hi rend="init-flour">M</hi><ex>u</ex>lt</expan>
abbr|chr|<expan corresp="#ab-ctr-chr">ch<ex>e<c ana="#lram-c">u</c>alie</ex>r</expan>
abbr|Chr|<expan corresp="#ab-ctr-chr">Ch<ex>e<c ana="#lram-c">u</c>alie</ex>r</expan>
abbr|chrie|<expan corresp="#ab-ctr-chrie">ch<ex>e<c ana="#lram-c">u</c>ale</ex>rie</expan>
abbr|Chrie|<expan corresp="#ab-ctr-chrie">Ch<ex>e<c ana="#lram-c">u</c>ale</ex>rie</expan>
abbr|tre|<expan corresp="#ab-ctr-tre">t<ex>er</ex>re</expan>
abbr|bn|<expan corresp="#ab-ctr-bn">b<ex>ie</ex>n</expan>
abbr|nre|<expan corresp="#ab-ctr-nre">n<ex>ost</ex>re</expan>
abbr|ure|<expan corresp="#ab-ctr-ure"><c ana="#lram-c">u</c><ex>ost</ex>re</expan>
abbr|qt|<expan corresp="#ab-ctr-qt">q<ex>uan</ex>t</expan>
abbr|ment|<expan corresp="#ab-ctr-mt">m<ex>en</ex>t</expan>
abbr|mant|<expan corresp="#ab-ctr-mt">m<ex>an</ex>t</expan>

abbr|qe|<expan corresp="#ab-sus-qe">q<ex>u</ex>e</expan>
abbr|Qe|<expan corresp="#ab-sus-qe">Q<ex>u</ex>e</expan>
